customer_id,signup_month,activity_month,mrr,plan_tier,region
C00001,2023-01,2023-01,200.0,Pro,NA
C00002,2023-01,2023-01,50.0,Starter,NA
C00002,2023-01,2023-02,50.0,Starter,NA
C00002,2023-01,2023-03,60.0,Starter,NA
C00002,2023-01,2023-04,60.0,Starter,NA
C00002,2023-01,2023-05,60.0,Starter,NA
C00002,2023-01,2023-06,60.0,Starter,NA
C00002,2023-01,2023-07,60.0,Starter,NA
C00002,2023-01,2023-08,72.0,Starter,NA
C00002,2023-01,2023-09,72.0,Starter,NA
C00002,2023-01,2023-10,86.4,Starter,NA
C00002,2023-01,2023-11,103.68,Starter,NA
C00002,2023-01,2023-12,103.68,Starter,NA
C00002,2023-01,2024-01,103.68,Starter,NA
C00002,2023-01,2024-02,103.68,Starter,NA
C00002,2023-01,2024-03,124.42,Starter,NA
C00002,2023-01,2024-04,124.42,Starter,NA
C00002,2023-01,2024-05,124.42,Starter,NA
C00002,2023-01,2024-06,124.42,Starter,NA
C00002,2023-01,2024-07,124.42,Starter,NA
C00002,2023-01,2024-08,149.3,Starter,NA
C00002,2023-01,2024-09,149.3,Starter,NA
C00002,2023-01,2024-10,149.3,Starter,NA
C00002,2023-01,2024-11,179.16,Starter,NA
C00002,2023-01,2024-12,179.16,Starter,NA
C00003,2023-01,2023-01,200.0,Pro,EMEA
C00003,2023-01,2023-02,240.0,Pro,EMEA
C00003,2023-01,2023-03,288.0,Pro,EMEA
C00003,2023-01,2023-04,288.0,Pro,EMEA
C00003,2023-01,2023-05,345.6,Pro,EMEA
C00003,2023-01,2023-06,414.72,Pro,EMEA
C00003,2023-01,2023-07,414.72,Pro,EMEA
C00003,2023-01,2023-08,414.72,Pro,EMEA
C00004,2023-01,2023-01,800.0,Enterprise,EMEA
C00004,2023-01,2023-02,960.0,Enterprise,EMEA
C00004,2023-01,2023-03,960.0,Enterprise,EMEA
C00004,2023-01,2023-04,960.0,Enterprise,EMEA
C00004,2023-01,2023-05,960.0,Enterprise,EMEA
C00004,2023-01,2023-06,960.0,Enterprise,EMEA
C00004,2023-01,2023-07,1152.0,Enterprise,EMEA
C00004,2023-01,2023-08,1152.0,Enterprise,EMEA
C00004,2023-01,2023-09,1152.0,Enterprise,EMEA
C00004,2023-01,2023-10,1152.0,Enterprise,EMEA
C00004,2023-01,2023-11,1152.0,Enterprise,EMEA
C00004,2023-01,2023-12,1152.0,Enterprise,EMEA
C00004,2023-01,2024-01,1152.0,Enterprise,EMEA
C00004,2023-01,2024-02,1382.4,Enterprise,EMEA
C00004,2023-01,2024-03,1382.4,Enterprise,EMEA
C00004,2023-01,2024-04,1382.4,Enterprise,EMEA
C00004,2023-01,2024-05,1382.4,Enterprise,EMEA
C00004,2023-01,2024-06,1382.4,Enterprise,EMEA
C00004,2023-01,2024-07,1382.4,Enterprise,EMEA
C00004,2023-01,2024-08,1658.88,Enterprise,EMEA
C00004,2023-01,2024-09,1658.88,Enterprise,EMEA
C00004,2023-01,2024-10,1658.88,Enterprise,EMEA
C00004,2023-01,2024-11,1658.88,Enterprise,EMEA
C00004,2023-01,2024-12,1658.88,Enterprise,EMEA
C00005,2023-01,2023-01,50.0,Starter,NA
C00005,2023-01,2023-02,50.0,Starter,NA
C00005,2023-01,2023-03,50.0,Starter,NA
C00005,2023-01,2023-04,50.0,Starter,NA
C00005,2023-01,2023-05,60.0,Starter,NA
C00005,2023-01,2023-06,60.0,Starter,NA
C00005,2023-01,2023-07,60.0,Starter,NA
C00005,2023-01,2023-08,60.0,Starter,NA
C00005,2023-01,2023-09,72.0,Starter,NA
C00006,2023-01,2023-01,50.0,Starter,NA
C00006,2023-01,2023-02,60.0,Starter,NA
C00006,2023-01,2023-03,60.0,Starter,NA
C00006,2023-01,2023-04,51.0,Starter,NA
C00006,2023-01,2023-05,51.0,Starter,NA
C00006,2023-01,2023-06,61.2,Starter,NA
